id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,spread pressure,121,28,11,75,433,ship,baseline,monotonic-signal,raise-signal
m002,g002,fill risk,78,12,10,56,272,ship,edge,drag-penalty,drop-slack
m003,g003,portfolio drift,108,23,39,42,272,ship,recovery,confidence-floor,raise-drag
m004,g004,quote width,83,25,45,79,218,ship,negative,lane-boundary,lower-confidence
m005,g005,spread pressure,83,29,11,78,323,ship,baseline,monotonic-signal,raise-signal
m006,g006,fill risk,117,22,37,33,295,ship,edge,drag-penalty,drop-slack
m007,g007,portfolio drift,98,73,38,58,311,ship,recovery,confidence-floor,raise-drag
m008,g008,quote width,92,60,8,62,374,ship,negative,lane-boundary,lower-confidence
m009,g009,spread pressure,57,56,40,88,195,ship,baseline,monotonic-signal,raise-signal
m010,g010,fill risk,74,46,16,56,276,ship,edge,drag-penalty,drop-slack
m011,g011,portfolio drift,90,25,33,44,240,ship,recovery,confidence-floor,raise-drag
m012,g012,quote width,102,11,12,73,354,ship,negative,lane-boundary,lower-confidence
m013,g013,spread pressure,76,77,24,68,301,ship,baseline,monotonic-signal,raise-signal
m014,g014,fill risk,53,31,14,64,212,ship,edge,drag-penalty,drop-slack
m015,g015,portfolio drift,50,62,17,23,184,ship,recovery,confidence-floor,raise-drag
m016,g016,quote width,52,40,31,80,183,ship,negative,lane-boundary,lower-confidence
m017,g017,spread pressure,109,66,22,90,417,ship,baseline,monotonic-signal,raise-signal
m018,g018,fill risk,40,1,19,50,114,hold,edge,drag-penalty,drop-slack
m019,g019,portfolio drift,57,22,47,34,86,hold,recovery,confidence-floor,raise-drag
m020,g020,quote width,69,30,10,61,268,ship,negative,lane-boundary,lower-confidence
m021,g021,spread pressure,88,36,38,55,241,ship,baseline,monotonic-signal,raise-signal
m022,g022,fill risk,43,31,12,41,165,watch,edge,drag-penalty,drop-slack
m023,g023,portfolio drift,117,12,49,91,307,ship,recovery,confidence-floor,raise-drag
m024,g024,quote width,113,35,38,64,324,ship,negative,lane-boundary,lower-confidence
m025,g025,spread pressure,124,70,37,32,363,ship,baseline,monotonic-signal,raise-signal
